"","territory_sa4","missing_count","max_date","min_date"
"1","Adelaide - Central and Hills",247,2020-03-01,1999-09-01
"2","Adelaide - North",247,2020-03-01,1999-09-01
"3","Adelaide - West",247,2020-03-01,1999-09-01
"4","Australian Capital Territory",247,2020-03-01,1999-09-01
"5","Brisbane - East",247,2020-03-01,1999-09-01
"6","Brisbane - North",247,2020-03-01,1999-09-01
"7","Brisbane - South",247,2020-03-01,1999-09-01
"8","Brisbane - West",247,2020-03-01,1999-09-01
"9","Brisbane Inner City",247,2020-03-01,1999-09-01
"10","Central Coast",247,2020-03-01,1999-09-01
"11","Gold Coast",247,2020-03-01,1999-09-01
"12","Greater Hobart",1,2020-03-01,2020-03-01
"13","Illawarra",86,2020-03-01,2013-02-01
"14","Latrobe - Gippsland",45,2020-03-01,2016-07-01
"15","Logan - Beaudesert",90,2020-03-01,2012-10-01
"16","Mandurah",247,2020-03-01,1999-09-01
"17","Melbourne - Inner",247,2020-03-01,1999-09-01
"18","Melbourne - Inner East",247,2020-03-01,1999-09-01
"19","Melbourne - Inner South",247,2020-03-01,1999-09-01
"20","Melbourne - North East",1,2020-03-01,2020-03-01
"21","Melbourne - North West",247,2020-03-01,1999-09-01
"22","Melbourne - Outer East",247,2020-03-01,1999-09-01
"23","Melbourne - South East",247,2020-03-01,1999-09-01
"24","Melbourne - West",247,2020-03-01,1999-09-01
"25","Moreton Bay - North",247,2020-03-01,1999-09-01
"26","Moreton Bay - South",247,2020-03-01,1999-09-01
"27","Mornington Peninsula",247,2020-03-01,1999-09-01
"28","Newcastle and Lake Macquarie",247,2020-03-01,1999-09-01
"29","Perth - Inner",247,2020-03-01,1999-09-01
"30","Perth - North East",247,2020-03-01,1999-09-01
"31","Perth - North West",247,2020-03-01,1999-09-01
"32","Perth - South East",247,2020-03-01,1999-09-01
"33","Perth - South West",247,2020-03-01,1999-09-01
"34","Richmond - Tweed",92,2020-03-01,2012-08-01
"35","Shepparton",1,2020-03-01,2020-03-01
"36","Southern Highlands and Shoalhaven",189,2020-03-01,2004-07-01
"37","Sunshine Coast",247,2020-03-01,1999-09-01
"38","Sydney - Baulkham Hills and Hawkesbury",247,2020-03-01,1999-09-01
"39","Sydney - Blacktown",247,2020-03-01,1999-09-01
"40","Sydney - City and Inner South",247,2020-03-01,1999-09-01
"41","Sydney - Eastern Suburbs",247,2020-03-01,1999-09-01
"42","Sydney - Inner South West",247,2020-03-01,1999-09-01
"43","Sydney - Inner West",247,2020-03-01,1999-09-01
"44","Sydney - North Sydney and Hornsby",247,2020-03-01,1999-09-01
"45","Sydney - Northern Beaches",247,2020-03-01,1999-09-01
"46","Sydney - Outer South West",247,2020-03-01,1999-09-01
"47","Sydney - Outer West and Blue Mountains",247,2020-03-01,1999-09-01
"48","Sydney - Parramatta",247,2020-03-01,1999-09-01
"49","Sydney - Ryde",247,2020-03-01,1999-09-01
"50","Sydney - South West",247,2020-03-01,1999-09-01
"51","Sydney - Sutherland",247,2020-03-01,1999-09-01
"52","Tasmania - South East",1,2020-03-01,2020-03-01
"53","Warrnambool and South West",23,2020-03-01,2018-05-01
"54","Wide Bay",1,2020-03-01,2020-03-01
