"","territory_sa4","rainfall_stn_count"
"1","Central Coast",NA
"2","Sydney - Baulkham Hills and Hawkesbury",NA
"3","Sydney - Blacktown",NA
"4","Sydney - City and Inner South",NA
"5","Sydney - Eastern Suburbs",NA
"6","Sydney - Inner South West",NA
"7","Sydney - Inner West",NA
"8","Sydney - North Sydney and Hornsby",NA
"9","Sydney - Northern Beaches",NA
"10","Sydney - Outer South West",NA
"11","Sydney - Outer West and Blue Mountains",NA
"12","Sydney - Parramatta",NA
"13","Sydney - Ryde",NA
"14","Sydney - South West",NA
"15","Sydney - Sutherland",NA
"16","Capital Region",NA
"17","New South Wales - Central West",NA
"18","Coffs Harbour - Grafton",NA
"19","Far West and Orana",NA
"20","Hunter Valley exc Newcastle",NA
"21","Illawarra",NA
"22","Mid North Coast",NA
"23","Murray",NA
"24","New England and North West",NA
"25","Newcastle and Lake Macquarie",NA
"26","Richmond - Tweed",NA
"27","Riverina",NA
"28","Southern Highlands and Shoalhaven",NA
"29","Melbourne - Inner",NA
"30","Melbourne - Inner East",NA
"31","Melbourne - Inner South",NA
"32","Melbourne - North East",NA
"33","Melbourne - North West",NA
"34","Melbourne - Outer East",NA
"35","Melbourne - South East",NA
"36","Melbourne - West",NA
"37","Mornington Peninsula",NA
"38","Ballarat",NA
"39","Bendigo",NA
"40","Geelong",NA
"41","Hume",NA
"42","Latrobe - Gippsland",NA
"43","Victoria - North West",NA
"44","Shepparton",NA
"45","Warrnambool and South West",NA
"46","Brisbane - East",NA
"47","Brisbane - North",NA
"48","Brisbane - South",NA
"49","Brisbane - West",NA
"50","Brisbane Inner City",NA
"51","Ipswich",NA
"52","Logan - Beaudesert",NA
"53","Moreton Bay - North",NA
"54","Moreton Bay - South",NA
"55","Cairns",NA
"56","Darling Downs - Maranoa",NA
"57","Central Queensland",NA
"58","Gold Coast",NA
"59","Mackay - Isaac - Whitsunday",NA
"60","Queensland - Outback",NA
"61","Sunshine Coast",NA
"62","Toowoomba",NA
"63","Townsville",NA
"64","Wide Bay",NA
"65","Adelaide - Central and Hills",NA
"66","Adelaide - North",NA
"67","Adelaide - South",NA
"68","Adelaide - West",NA
"69","Barossa - Yorke - Mid North",NA
"70","South Australia - Outback",NA
"71","South Australia - South East",NA
"72","Mandurah",NA
"73","Perth - Inner",NA
"74","Perth - North East",NA
"75","Perth - North West",NA
"76","Perth - South East",NA
"77","Perth - South West",NA
"78","Bunbury",NA
"79","Western Australia - Outback (North and South)",NA
"80","Western Australia - Wheat Belt",NA
"81","Greater Hobart",NA
"82","Launceston and North East",NA
"83","Tasmania - South East",NA
"84","Tasmania - West and North West",NA
"85","Darwin",NA
"86","Northern Territory - Outback",NA
"87","Australian Capital Territory",NA
