"","territory_sa4","temp_stn_count"
"1","Central Coast",NA
"2","Sydney - Baulkham Hills and Hawkesbury",NA
"3","Sydney - Blacktown",NA
"4","Sydney - City and Inner South",NA
"5","Sydney - Eastern Suburbs",NA
"6","Sydney - Inner South West",NA
"7","Sydney - Inner West",NA
"8","Sydney - North Sydney and Hornsby",NA
"9","Sydney - Northern Beaches",NA
"10","Sydney - Outer South West",NA
"11","Sydney - Outer West and Blue Mountains",NA
"12","Sydney - Parramatta",NA
"13","Sydney - Ryde",NA
"14","Sydney - South West",NA
"15","Sydney - Sutherland",NA
"16","Capital Region",8
"17","New South Wales - Central West",NA
"18","Coffs Harbour - Grafton",NA
"19","Far West and Orana",NA
"20","Hunter Valley exc Newcastle",NA
"21","Illawarra",NA
"22","Mid North Coast",1
"23","Murray",6
"24","New England and North West",NA
"25","Newcastle and Lake Macquarie",NA
"26","Richmond - Tweed",NA
"27","Riverina",8
"28","Southern Highlands and Shoalhaven",NA
"29","Melbourne - Inner",1
"30","Melbourne - Inner East",NA
"31","Melbourne - Inner South",1
"32","Melbourne - North East",2
"33","Melbourne - North West",3
"34","Melbourne - Outer East",4
"35","Melbourne - South East",NA
"36","Melbourne - West",1
"37","Mornington Peninsula",2
"38","Ballarat",2
"39","Bendigo",2
"40","Geelong",5
"41","Hume",8
"42","Latrobe - Gippsland",16
"43","Victoria - North West",NA
"44","Shepparton",4
"45","Warrnambool and South West",11
"46","Brisbane - East",NA
"47","Brisbane - North",NA
"48","Brisbane - South",NA
"49","Brisbane - West",NA
"50","Brisbane Inner City",NA
"51","Ipswich",NA
"52","Logan - Beaudesert",NA
"53","Moreton Bay - North",NA
"54","Moreton Bay - South",NA
"55","Cairns",NA
"56","Darling Downs - Maranoa",NA
"57","Central Queensland",NA
"58","Gold Coast",NA
"59","Mackay - Isaac - Whitsunday",1
"60","Queensland - Outback",17
"61","Sunshine Coast",NA
"62","Toowoomba",NA
"63","Townsville",NA
"64","Wide Bay",NA
"65","Adelaide - Central and Hills",2
"66","Adelaide - North",2
"67","Adelaide - South",2
"68","Adelaide - West",2
"69","Barossa - Yorke - Mid North",10
"70","South Australia - Outback",21
"71","South Australia - South East",18
"72","Mandurah",2
"73","Perth - Inner",2
"74","Perth - North East",2
"75","Perth - North West",1
"76","Perth - South East",2
"77","Perth - South West",3
"78","Bunbury",11
"79","Western Australia - Outback (North and South)",NA
"80","Western Australia - Wheat Belt",14
"81","Greater Hobart",NA
"82","Launceston and North East",13
"83","Tasmania - South East",NA
"84","Tasmania - West and North West",NA
"85","Darwin",5
"86","Northern Territory - Outback",39
"87","Australian Capital Territory",4
